,CLX,CMC,CAR,AVID,PEP,FLS,ANF,OSK,VVI,EXTR,PRGS,DELL,GNW,JAKK,PLUG,RDNT,DSPG,ITW,MLM,VMC,LEN,PTX,SCOR,AXAS,GTS,NBR,HPE,TKR,RGS,MDRX,QEP,IDTI,USAK,NFLX,SUPN,CACC,WRLD,CPF,IRDM,XOMA,HOLX,DSPG,CACI,IR,LEA,HA,AAPL,HOLX,LNN,PEP,NSP,CHS,NMIH,RIG,DRI,FNF,MPC,BGFV,LEN,WMB,NUAN,SIGM,CNMD,FOE,FORR,STC,RDN,LHCG,OCLR,DELL,CASH,KMT,PFSI,TUES,ICPT
49,73.12,16.57,21.99,6.57,83.35,71.22,35.81,53.54,27.39,5.67,21.9,,16.35,6.515,2.67,8.07,10.97,93.56,109.83,69.74,47.19,7.09,53.48,2.96,21.09,11.44,21.53,31.88,14.7,14.02,15.51,25.48,17.92,95.9,17.81,197.57,41.62,23.07,9.16,0.5531,36.52,10.45,95.33,65.76,121.3,51.5,121.95,40.58,78.12,103.48,88.65,13.82,11.55,8.77,83.85,36.84,58.47,6.1,67.82,32.53,18.14,5.65,60.67,,,,,,,,,,,,
50,71.76,16.92,22.65,6.97,84.56,69.65,36.9,47.11,26.29,5.56,21.91,,13.07,6.38,2.87,7.89,10.99,93.09,107.74,70.51,46.82,6.67,52.64,2.93,21.58,11.61,21.63,33.38,14.63,14.06,15.46,18.1,17.72,90.03,17.16,196.27,43.39,23.72,8.98,0.671,38.49,10.83,95.97,66.95,120.43,50.8,129.08,39.58,75.84,105.11,91.35,13.67,12.0,9.48,83.15,37.98,62.2,6.2,60.02,30.7,17.47,5.55,61.1,,,,,,,,,,,,
51,71.85,17.01,22.86,6.68,85.85,69.58,34.37,49.18,24.79,5.53,21.53,,12.91,6.51,2.67,8.28,11.31,97.09,117.97,75.23,47.49,6.76,50.02,2.99,23.84,11.5,22.17,32.71,14.48,14.91,15.89,16.96,19.19,90.84,15.12,185.35,42.0,24.3,8.93,0.63,38.97,10.49,93.88,68.75,119.05,51.35,132.12,39.93,76.27,106.1,82.9,12.76,11.55,9.39,83.34,38.55,61.72,5.5,58.69,28.61,16.09,5.8,63.31,,,,,,,,,,,,
52,72.39,17.26,23.84,6.58,86.03,71.26,34.6,50.45,23.74,3.68,21.06,,13.41,6.98,2.91,8.66,11.38,98.26,145.23,79.87,47.6,6.83,54.81,3.01,24.11,10.94,22.04,32.96,14.32,14.58,15.01,18.2,19.34,87.88,17.28,175.34,40.04,24.06,8.52,0.6128,38.68,10.75,97.68,75.83,126.87,50.3,135.72,40.0,78.42,108.15,81.4,11.23,11.35,,83.99,39.91,62.27,5.5,60.86,28.91,16.66,5.9,64.38,,,,,,,,,,,,
53,72.31,16.52,23.64,6.1,85.74,71.0,34.15,47.19,23.44,4.09,21.34,,13.88,6.78,3.15,8.83,11.43,99.49,143.24,80.98,48.53,6.38,56.26,3.02,22.77,10.01,23.31,31.22,12.94,14.95,14.7,19.25,18.65,92.49,17.97,176.88,41.7,23.15,8.49,0.59,38.34,11.25,98.69,74.46,129.62,50.0,136.66,40.82,81.35,109.83,79.8,9.37,11.45,,83.68,40.54,62.03,6.2,59.04,28.74,16.24,5.925,62.91,,,,,,,,,,,,
54,72.75,16.1,23.54,7.49,84.46,71.38,34.28,48.75,24.05,3.96,21.78,,14.19,7.36,3.24,8.76,11.29,98.86,142.33,83.0,46.63,6.37,56.58,2.92,21.37,11.4,23.31,31.35,11.7,15.29,15.85,20.61,20.13,103.3,19.15,186.29,43.29,22.83,8.41,0.5753,38.8,12.06,100.07,76.12,130.75,49.95,139.78,41.24,80.69,110.56,76.4,9.43,10.9,,81.92,40.58,62.84,6.35,57.48,27.11,16.38,6.05,62.72,,,,,,,,,,,,
55,72.78,16.58,25.81,7.29,83.15,70.94,34.87,49.94,25.39,3.98,21.72,,13.23,7.33,3.08,8.79,11.37,97.77,140.69,84.75,46.71,6.18,57.65,2.76,21.28,10.11,23.22,30.32,12.09,15.14,13.54,20.1,19.99,99.59,19.53,182.53,41.0,23.38,7.61,0.56,38.51,11.65,98.82,74.5,138.8,48.2,139.14,42.23,80.05,109.59,76.65,9.32,10.35,,78.55,40.08,64.75,6.4,59.79,28.0,17.57,6.125,,,,,,,,,,,,,
56,70.59,16.29,28.1,7.4,80.93,72.36,31.92,48.54,23.75,4.11,21.9,,13.17,6.77,2.97,8.99,11.73,97.66,141.81,84.61,47.47,5.9,57.64,2.56,21.0,9.77,23.85,30.39,11.78,14.38,11.96,20.33,18.96,93.75,19.39,178.21,39.93,23.63,6.94,0.645,37.16,11.32,97.08,78.45,134.75,49.9,139.99,42.59,82.85,111.39,76.55,9.25,11.35,,83.86,39.52,65.75,6.15,59.21,27.21,17.43,6.0,,,,,,,,,,,,,
57,71.4,16.41,27.32,7.24,81.81,75.73,32.91,49.33,23.5,4.14,21.99,,13.19,6.6,2.86,7.54,11.5,98.53,138.5,84.05,48.64,6.13,54.38,2.29,20.71,9.82,24.51,29.02,12.2,14.77,11.89,19.9,19.77,94.45,17.82,167.49,41.59,24.69,7.45,0.5664,37.59,11.53,101.73,77.14,133.55,48.45,140.64,42.29,80.84,112.12,76.1,8.86,12.025,,82.88,39.07,66.36,6.9,58.06,25.64,15.82,6.15,,,,,,,,,,,,,
58,72.05,15.85,27.83,7.2,82.71,76.9,33.38,49.9,23.73,4.2,22.48,,13.4,6.82,2.66,8.23,11.8,96.74,141.73,84.17,51.98,5.66,54.0,1.95,18.78,10.0,23.49,27.1,12.78,15.22,13.38,20.75,19.95,88.44,18.44,172.77,42.53,24.47,7.84,0.5199,38.45,12.04,100.9,76.86,132.37,46.45,143.66,42.55,88.12,111.86,74.55,9.42,12.4,,78.78,39.24,65.98,6.6,58.67,25.15,15.53,6.2,,,,,,,,,,,,,
59,73.74,14.41,27.28,7.1,82.24,77.86,32.79,49.79,24.0,4.26,24.12,,13.37,6.53,2.64,8.68,11.94,96.61,137.36,84.31,51.2,5.58,53.25,1.88,19.22,9.71,23.82,28.22,12.03,15.38,13.4,19.26,17.5,96.67,20.64,182.8,46.73,24.53,8.11,0.459,38.83,12.01,101.37,75.04,136.9,45.75,143.34,42.75,85.94,111.61,71.0,9.15,12.15,,80.83,40.81,69.34,6.95,,,,,,,,,,,,,,,,,
60,73.81,14.37,29.03,7.45,83.5,77.0,37.19,52.76,23.98,4.42,24.07,,12.59,6.46,2.56,9.0,11.89,97.54,138.54,83.34,53.3,5.39,55.14,1.75,19.81,11.98,23.14,30.99,13.07,14.0,11.96,20.59,19.16,97.06,21.11,184.47,48.99,25.3,8.22,0.4242,39.74,11.36,100.09,75.06,143.33,48.35,141.05,42.42,83.92,112.68,71.8,8.68,13.35,,79.42,40.76,71.42,,,,,,,,,,,,,,,,,,
61,74.99,13.65,28.0,6.73,82.2,77.12,35.41,53.82,23.43,4.38,23.57,,12.7,6.32,2.61,8.82,11.58,95.87,140.24,81.93,52.44,6.06,58.84,1.81,19.93,10.63,23.1,28.59,12.62,14.28,10.58,20.36,19.28,98.39,21.84,197.99,54.07,24.77,8.45,0.39,38.45,10.48,100.15,77.27,142.0,53.25,142.27,43.3,86.81,113.43,71.55,8.92,14.35,,82.77,41.5,71.89,,,,,,,,,,,,,,,,,,
62,72.1,14.43,29.08,7.3,81.43,72.99,34.89,50.96,24.7,4.37,23.76,,13.38,6.17,2.67,8.95,11.83,94.63,138.53,83.47,50.57,5.26,56.63,1.56,19.07,10.53,22.94,29.72,12.95,14.6,10.88,19.28,19.27,85.89,21.03,193.67,54.09,24.82,8.53,5.46,38.08,10.4,98.3,78.64,141.26,54.3,143.65,45.15,86.86,113.28,72.4,9.05,14.65,,83.33,41.2,71.74,,,,,,,,,,,,,,,,,,
63,73.05,15.09,29.68,7.48,80.36,72.33,35.38,54.14,23.41,4.79,23.63,,13.99,6.02,2.65,8.43,11.51,95.05,147.83,88.33,53.04,4.98,58.5,1.92,20.59,10.04,22.88,31.6,16.52,13.78,12.82,20.28,19.28,91.25,22.22,180.67,43.46,25.36,8.1,5.51,35.98,10.4,102.7,80.0,140.75,53.8,148.96,45.04,87.93,113.22,75.2,9.23,15.9,,82.28,37.92,67.41,,,,,,,,,,,,,,,,,,
64,72.78,15.2,30.93,7.43,80.22,73.56,34.72,53.66,23.05,4.59,23.06,,8.41,6.22,2.49,8.79,11.26,95.92,154.89,90.47,49.92,4.98,60.96,1.65,25.63,10.36,22.55,32.26,18.04,12.63,11.62,20.25,12.65,97.03,23.11,207.67,45.49,25.89,7.95,5.37,38.08,10.8,121.75,79.02,141.35,53.3,156.1,42.63,84.49,112.91,84.25,8.41,15.8,,82.64,37.28,63.84,,,,,,,,,,,,,,,,,,
65,74.29,15.46,32.03,7.0,78.09,76.44,34.32,54.22,24.18,4.81,23.49,,9.41,6.9,2.43,6.86,11.1,97.12,155.32,91.99,52.54,4.7,63.99,1.61,24.33,9.25,23.5,30.52,16.95,12.535,10.58,22.02,12.47,96.59,22.68,199.85,45.65,25.43,8.8,6.58,36.74,11.7,124.7,81.19,142.37,51.25,152.96,43.0,84.57,113.69,82.4,7.82,16.3,,82.81,39.08,67.93,,,,,,,,,,,,,,,,,,
66,74.65,15.42,31.71,7.07,78.22,80.98,34.84,56.38,23.5,4.95,23.38,,9.56,6.96,2.61,6.78,11.29,96.88,152.3,91.58,53.45,4.59,56.5,1.44,26.47,8.98,23.99,31.75,17.08,12.15,10.52,23.22,12.9,95.87,22.13,196.37,45.07,25.01,8.7,6.65,38.37,12.4,128.5,80.99,141.36,49.75,153.61,43.35,85.27,117.91,80.0,8.18,16.5,,80.24,39.72,66.81,,,,,,,,,,,,,,,,,,
67,76.35,15.42,33.16,6.44,80.07,81.21,39.63,57.83,22.94,5.33,23.32,,9.09,6.66,2.58,6.51,11.18,93.83,149.01,89.93,50.43,4.7,53.46,1.24,26.5,10.24,24.4,32.16,17.02,12.53,10.76,23.17,10.98,97.58,22.07,199.76,46.51,25.3,9.05,6.5,39.06,12.0,129.9,81.32,144.5,51.8,155.45,45.03,85.97,117.67,80.35,8.09,17.15,,85.04,38.26,65.19,,,,,,,,,,,,,,,,,,
68,76.27,14.62,33.58,6.66,81.56,80.81,41.24,58.52,23.65,5.33,23.16,,8.63,6.41,2.72,6.67,11.07,93.23,148.1,89.12,50.41,4.53,47.29,1.36,25.5,9.6,22.96,31.33,16.25,12.85,10.94,23.27,11.62,97.38,21.97,199.72,49.89,25.19,8.95,5.35,37.92,11.3,131.85,79.96,144.48,56.65,148.98,44.67,85.63,115.94,81.6,8.2,17.5,,86.41,38.62,70.22,,,,,,,,,,,,,,,,,,
69,75.4,14.61,30.61,5.98,81.0,76.01,38.94,56.03,22.38,5.22,23.41,,7.92,6.26,2.74,6.68,11.02,93.7,147.89,88.89,52.24,4.41,48.96,1.91,23.72,8.69,23.05,28.79,15.14,12.91,12.6,21.75,11.45,96.5,21.7,193.81,47.5,25.62,9.95,5.68,39.02,11.85,125.3,79.49,145.01,46.35,142.27,44.32,85.76,116.86,81.3,8.31,17.25,,88.41,39.22,69.68,,,,,,,,,,,,,,,,,,
70,74.02,13.96,28.09,5.87,82.14,77.04,39.63,58.22,23.61,5.19,23.29,,8.59,6.68,2.69,6.98,10.8,92.86,148.25,89.29,51.75,4.44,47.8,1.8,23.96,7.87,22.37,27.08,15.16,12.635,13.19,19.94,11.45,99.48,25.09,198.6,45.59,24.67,9.925,5.8,40.09,12.2,125.15,80.99,137.9,46.9,146.35,46.13,85.4,116.96,81.25,8.22,17.4,,96.4,39.87,71.28,,,,,,,,,,,,,,,,,,
71,72.66,14.77,28.75,5.96,82.95,76.13,38.78,58.07,23.56,4.8,23.0,,8.39,6.91,2.6,6.82,10.65,92.78,144.88,86.48,50.46,3.32,45.01,1.57,24.48,8.87,22.85,28.98,15.45,12.21,13.39,19.95,10.33,95.94,26.17,195.73,48.92,24.95,10.4,5.36,40.33,12.3,124.3,79.18,141.58,46.95,144.02,45.38,89.25,115.49,83.6,8.95,17.0,,96.02,40.66,72.88,,,,,,,,,,,,,,,,,,
72,74.71,14.4,32.09,5.58,82.59,77.83,38.85,57.96,24.7,4.64,24.1,,8.43,6.84,2.57,6.6,9.98,93.4,144.0,85.37,49.08,3.24,48.12,1.59,23.91,8.51,22.77,28.59,14.15,13.56,13.81,20.29,10.24,98.55,24.73,201.07,49.04,25.33,9.6,4.22,40.12,13.05,124.5,81.32,134.36,48.3,144.18,45.08,90.61,115.51,88.0,8.77,17.3,,99.31,,,,,,,,,,,,,,,,,,,,
73,75.68,14.82,32.76,5.38,83.15,75.15,35.74,56.9,22.81,4.78,24.19,,7.92,7.04,2.32,6.57,9.42,92.58,152.9,90.36,51.33,3.255,51.0,1.51,22.07,7.19,23.7,25.74,14.49,13.87,14.35,21.61,9.96,104.82,23.78,186.06,49.97,25.23,10.7,4.95,39.88,12.75,123.6,82.62,132.08,46.2,149.04,45.17,90.9,114.93,92.8,7.47,18.9,,98.02,,,,,,,,,,,,,,,,,,,,
74,76.84,15.24,32.22,5.73,85.55,79.04,35.62,57.01,22.77,3.89,24.41,,7.3,7.19,2.28,6.66,9.21,93.02,156.53,91.67,50.06,4.06,44.55,1.38,21.59,6.37,18.28,24.52,14.29,13.75,14.56,21.46,8.83,101.47,20.81,188.15,49.26,29.65,10.9,4.9,40.18,11.75,123.2,81.86,139.05,45.3,150.27,45.01,92.77,116.63,93.05,7.9,19.6,,99.04,,,,,,,,,,,,,,,,,,,,
75,77.54,15.55,30.86,5.62,85.25,72.87,36.62,56.07,22.01,3.065,25.13,,7.22,6.69,2.38,6.57,8.74,88.27,157.83,89.79,52.12,2.96,43.24,1.34,22.36,6.29,17.99,24.26,15.07,13.91,15.87,21.99,8.37,127.5,20.83,184.44,49.51,30.38,10.05,4.59,39.35,11.2,122.5,83.03,142.66,41.95,149.5,44.12,91.69,116.61,95.05,8.22,19.8,,98.49,,,,,,,,,,,,,,,,,,,,
76,79.16,15.76,31.85,5.9,85.52,74.51,38.16,55.1,21.0,3.14,25.48,,6.98,6.68,2.38,6.69,8.73,89.47,156.82,91.02,50.07,2.81,42.78,1.32,22.29,7.36,18.14,26.55,14.94,13.4,17.93,18.83,8.58,126.57,20.6,183.08,48.04,30.38,10.35,4.4,40.58,11.0,130.2,88.75,140.84,42.25,156.39,39.25,90.01,116.37,96.3,7.63,18.55,,96.04,,,,,,,,,,,,,,,,,,,,
77,80.73,15.95,28.64,5.98,87.17,74.88,37.23,53.81,21.92,3.59,25.9,,7.76,6.96,2.59,6.89,8.33,89.3,167.58,94.51,48.52,3.25,46.57,1.23,20.95,7.01,18.63,29.52,13.68,13.22,16.92,19.21,7.67,122.03,17.85,167.16,43.68,29.61,9.9,4.45,39.58,10.15,126.45,90.01,144.28,41.85,157.48,38.2,86.32,116.51,100.45,8.02,18.2,,92.69,,,,,,,,,,,,,,,,,,,,
78,81.75,15.71,28.5,5.91,86.54,74.15,38.0,52.69,21.92,3.78,26.23,,8.67,7.21,2.4,7.63,9.12,89.76,175.03,97.77,48.35,3.28,42.1,1.04,19.99,5.97,18.83,29.89,13.89,13.07,17.41,20.4,9.35,114.78,21.6,186.79,59.0,31.87,9.8,4.03,39.93,10.35,126.7,88.01,143.47,41.7,157.5,37.42,86.27,117.6,106.2,7.98,20.55,,96.52,,,,,,,,,,,,,,,,,,,,
79,83.13,15.63,28.81,6.15,85.83,74.5,37.16,53.99,22.24,3.75,26.54,,7.99,7.93,2.29,6.56,8.595,85.22,161.64,91.66,50.99,3.09,42.24,0.89,25.32,6.88,18.88,30.14,13.85,13.12,18.28,20.32,9.24,115.21,22.25,190.0,57.76,30.67,9.4,5.26,40.0,10.5,127.45,89.24,147.58,43.85,159.86,37.91,86.13,115.85,114.45,8.4,21.25,,95.35,,,,,,,,,,,,,,,,,,,,
80,83.98,14.88,26.77,5.77,88.33,73.74,38.01,54.05,21.94,3.68,25.7,,7.75,7.68,1.92,6.04,8.55,85.06,165.5,92.42,51.96,3.03,42.25,1.05,25.98,7.3,18.53,29.82,14.21,13.31,18.46,20.74,8.6,117.41,22.7,197.26,59.73,31.56,8.85,4.63,40.82,10.55,125.35,89.35,152.64,42.8,164.05,38.5,86.26,115.84,113.8,8.78,19.65,,95.47,,,,,,,,,,,,,,,,,,,,
81,84.21,15.53,27.76,5.81,87.91,76.51,39.51,55.84,22.54,3.62,25.79,,7.67,8.07,1.76,5.93,8.85,81.76,166.46,95.31,51.39,2.9,43.56,1.06,25.81,8.29,18.83,31.6,14.67,13.21,19.31,19.74,8.95,120.81,21.8,192.78,55.99,31.42,8.3,4.72,41.24,10.2,122.3,89.48,145.63,39.5,158.63,38.8,86.11,115.04,114.55,9.08,20.2,,94.81,,,,,,,,,,,,,,,,,,,,
82,83.72,16.27,30.01,6.11,87.19,77.27,41.71,53.32,21.82,3.69,26.94,,7.35,8.4,1.72,5.66,8.94,83.58,171.48,99.13,48.91,2.59,38.92,0.9501,25.98,9.2,17.4,31.32,15.04,13.05,18.8,21.0,10.3,122.88,23.0,216.98,66.84,31.09,8.45,6.05,42.23,10.45,127.15,88.11,138.45,40.25,159.88,37.72,89.07,114.85,116.4,8.71,15.9,,94.55,,,,,,,,,,,,,,,,,,,,
83,86.46,16.91,29.42,6.49,89.1,78.51,42.77,54.81,21.53,3.485,26.48,,7.38,8.89,1.7,6.41,8.63,84.78,169.89,98.95,47.49,2.58,38.23,0.81,24.74,9.14,16.99,33.44,15.68,12.43,18.8,21.75,8.99,124.22,23.75,205.57,62.43,30.77,9.15,5.35,42.59,11.8,121.0,92.34,138.02,37.7,151.89,37.57,90.5,111.85,116.5,8.78,16.2,,84.25,,,,,,,,,,,,,,,,,,,,
84,88.53,16.98,28.53,6.25,88.76,73.79,43.04,55.65,20.86,3.44,27.17,,7.29,9.59,1.89,5.67,9.22,82.43,159.39,92.02,48.88,2.9,41.2,1.02,24.7,8.69,16.49,32.76,14.81,12.29,17.32,23.1,8.97,125.59,25.6,214.63,65.32,29.96,8.9,6.76,42.29,11.85,117.3,91.08,142.08,37.55,154.12,36.69,91.9,111.43,57.3,8.82,16.75,,84.22,,,,,,,,,,,,,,,,,,,,
85,86.61,16.49,30.42,6.51,90.02,75.52,43.23,57.59,20.83,3.62,27.62,,7.76,9.94,1.93,5.42,9.12,82.78,163.08,95.61,48.91,2.95,41.15,1.14,25.44,8.92,16.85,33.67,15.23,13.03,18.29,22.75,8.71,123.8,25.25,217.51,64.28,31.71,9.65,7.11,42.55,12.0,114.85,91.39,144.97,40.6,155.3,37.69,92.0,110.4,57.35,8.77,,,,,,,,,,,,,,,,,,,,,,,
86,88.76,16.64,29.63,7.53,89.85,72.91,41.29,54.7,20.92,3.57,26.74,,7.73,8.97,2.01,5.68,9.38,87.66,165.07,94.9,42.11,2.65,36.4,0.9273,25.74,9.39,16.59,33.14,15.08,13.87,17.65,19.79,9.67,131.07,26.9,209.68,64.44,31.89,10.025,6.44,42.75,12.3,112.35,93.25,147.4,37.95,156.99,36.28,87.83,112.62,58.25,9.87,,,,,,,,,,,,,,,,,,,,,,,
87,89.53,17.21,29.67,8.85,90.09,72.61,40.42,54.31,21.2,3.5,26.01,,8.02,8.8,2.32,5.72,9.47,84.32,151.44,91.42,40.91,2.22,42.35,0.8799,25.19,9.78,16.61,34.95,15.43,13.93,17.92,20.31,10.01,133.7,25.1,208.48,59.34,31.62,10.0,6.52,42.42,11.9,116.0,92.83,144.51,41.6,156.16,37.01,91.22,111.61,59.05,10.0,,,,,,,,,,,,,,,,,,,,,,,
88,86.67,18.22,29.77,9.69,91.55,77.88,38.05,53.21,21.96,3.05,25.27,,7.86,9.72,2.31,6.25,9.76,90.59,152.88,94.5,42.21,2.26,40.78,0.9301,26.48,10.84,17.19,36.59,15.75,13.82,17.19,20.7,9.19,138.6,23.45,203.26,59.17,32.04,10.2,7.73,43.3,12.25,118.0,91.67,149.17,33.9,163.05,37.24,92.82,110.6,60.7,9.56,,,,,,,,,,,,,,,,,,,,,,,
89,86.19,18.48,31.13,9.31,89.69,72.96,38.39,46.31,25.51,2.83,25.75,,9.03,9.85,2.31,6.61,10.1,91.94,155.15,96.58,42.15,2.18,38.53,0.88,26.04,9.8,18.01,35.63,13.67,14.12,18.2,22.43,9.11,142.45,26.0,206.29,48.59,31.66,10.6,6.95,45.15,12.45,126.35,88.54,145.99,33.5,172.5,39.56,92.53,110.22,61.6,9.37,,,,,,,,,,,,,,,,,,,,,,,
90,86.15,19.05,32.19,9.12,90.29,72.96,41.4,47.22,24.2,2.94,25.05,,8.28,9.28,2.41,7.22,10.1,92.62,154.98,102.15,39.53,1.99,35.89,1.15,22.25,8.35,17.51,33.59,13.62,14.16,18.75,23.07,8.31,140.25,26.75,202.98,49.31,31.91,10.5,6.19,45.04,12.4,122.9,88.18,142.74,36.15,174.67,38.97,88.79,112.75,59.95,9.53,,,,,,,,,,,,,,,,,,,,,,,
91,87.37,19.11,34.97,7.76,91.85,73.17,40.71,47.92,24.17,3.25,25.93,,7.91,9.81,2.76,6.49,9.86,89.41,153.43,99.18,39.7,2.04,35.6,1.05,21.99,8.11,17.51,32.9,13.27,13.16,19.15,25.11,8.42,144.82,25.8,200.05,50.93,30.66,10.05,6.26,42.63,12.05,121.45,85.09,142.06,37.6,170.15,39.96,88.15,114.68,57.3,9.82,,,,,,,,,,,,,,,,,,,,,,,
92,86.61,19.29,36.11,7.6,91.6,75.64,43.8,49.2,24.16,3.46,26.67,,7.93,9.07,1.84,6.01,10.26,93.54,160.87,105.7,39.97,2.03,39.29,1.15,22.01,8.1,17.3,32.57,12.22,12.63,20.41,25.63,9.485,142.22,26.1,191.99,53.68,31.64,9.95,6.41,43.0,12.3,127.2,85.18,144.54,39.15,174.97,40.87,92.08,115.9,63.05,8.67,,,,,,,,,,,,,,,,,,,,,,,
93,83.08,19.42,36.86,8.11,92.49,75.89,41.8,49.68,24.03,3.46,27.3,,7.94,9.42,1.9,6.31,10.38,93.2,161.0,103.99,42.24,2.18,42.95,1.02,23.69,9.07,17.18,33.44,12.99,12.73,19.59,22.45,9.0,143.25,25.3,200.79,53.89,29.4,10.05,6.73,43.35,12.15,124.8,84.63,151.61,40.9,171.05,40.85,93.1,116.78,66.75,9.63,,,,,,,,,,,,,,,,,,,,,,,
94,84.47,19.86,36.63,7.94,91.75,76.63,40.87,49.91,25.48,3.55,27.34,,7.88,9.77,2.12,6.2,10.51,94.32,155.27,99.54,45.38,2.27,40.71,0.95,24.34,9.12,17.95,33.56,12.74,12.88,19.22,24.46,9.81,139.14,28.75,203.39,53.23,30.54,10.5,6.53,45.03,12.25,123.5,85.08,151.0,40.45,169.37,42.69,91.79,116.57,67.35,8.66,,,,,,,,,,,,,,,,,,,,,,,
95,85.39,19.58,36.13,7.47,90.87,74.26,41.32,47.16,25.44,3.43,26.68,,7.95,9.92,2.08,5.88,9.85,91.46,142.09,94.28,46.22,1.71,28.29,0.9522,24.56,10.37,14.31,33.44,12.99,12.55,18.14,24.61,9.1,140.89,26.35,197.47,50.65,29.86,10.9,6.42,44.67,12.5,121.45,87.46,167.17,40.05,173.87,43.53,89.47,119.22,70.95,8.68,,,,,,,,,,,,,,,,,,,,,,,
96,82.58,19.47,38.11,7.19,93.79,73.58,39.88,47.21,25.9,3.27,26.7,,7.87,9.53,2.0,6.14,9.59,90.92,139.91,93.84,47.66,0.9027,30.5,1.05,24.97,10.42,13.12,32.92,12.77,13.03,17.06,24.3,8.4,145.11,28.9,202.74,52.25,28.76,11.35,6.36,44.32,11.65,124.55,89.44,170.34,40.9,175.01,43.37,87.14,118.6,71.2,8.93,,,,,,,,,,,,,,,,,,,,,,,
97,83.14,20.49,39.4,7.18,93.13,71.45,36.89,45.51,26.8,3.33,27.41,,7.79,9.04,2.22,6.3,9.68,94.13,142.33,96.82,46.35,1.15,29.85,1.17,23.68,10.06,13.52,30.44,12.64,13.25,18.3,23.56,7.28,142.02,29.95,189.42,48.55,30.31,10.75,6.82,46.13,11.9,125.05,88.92,173.08,39.85,169.23,42.75,88.2,119.92,68.45,9.01,,,,,,,,,,,,,,,,,,,,,,,
98,83.82,20.13,40.53,6.59,93.5,68.77,35.86,44.75,26.5,3.08,27.05,,7.74,8.5,2.3,6.18,9.44,92.68,136.58,94.97,47.45,1.04,30.58,1.52,24.39,10.58,14.26,30.9,12.83,13.17,19.53,24.4,7.35,147.81,31.3,199.41,51.78,31.28,11.05,6.99,45.38,11.6,127.4,89.17,173.75,39.1,175.0,43.98,88.91,118.67,68.6,,,,,,,,,,,,,,,,,,,,,,,,
99,85.84,20.56,40.54,5.97,94.65,64.09,33.32,40.35,27.25,3.24,25.66,,7.49,8.665,2.11,5.76,8.74,84.02,126.13,86.25,47.59,1.04,28.81,1.37,25.5,9.82,14.71,30.7,13.63,13.09,18.32,25.16,7.23,143.11,31.2,193.99,51.88,31.91,10.7,6.97,45.08,11.85,128.3,92.05,173.37,38.75,177.09,43.71,94.95,117.38,,,,,,,,,,,,,,,,,,,,,,,,,
100,87.45,20.41,40.96,4.47,91.51,64.96,32.55,43.0,27.94,2.5,25.73,,7.79,8.96,1.92,5.41,9.57,81.25,124.69,83.84,47.92,0.94,29.63,1.37,26.42,9.71,14.8,31.73,13.83,13.04,17.85,24.75,6.82,142.92,31.05,192.56,51.11,30.9,10.9,7.41,45.17,12.3,127.3,91.32,173.74,37.95,178.46,43.46,92.79,120.17,,,,,,,,,,,,,,,,,,,,,,,,,
101,85.97,18.94,38.6,4.68,94.6,64.31,31.69,44.9,27.88,2.42,25.39,,7.24,8.72,1.66,5.67,9.7,82.16,123.6,85.37,47.33,0.8741,31.11,1.03,26.55,9.33,14.89,31.06,13.62,12.48,17.81,26.46,7.31,142.87,32.15,206.47,53.04,30.21,11.05,7.27,45.01,12.25,126.65,93.51,174.94,36.75,171.51,43.38,92.39,121.76,,,,,,,,,,,,,,,,,,,,,,,,,
102,85.32,19.06,37.71,4.33,96.17,67.99,33.48,44.76,26.98,2.55,26.09,,7.01,7.92,1.82,5.98,9.57,90.07,125.58,88.2,45.31,0.7501,30.62,1.14,24.85,9.0,14.04,33.45,13.44,12.03,16.43,25.2,6.71,152.2,32.6,203.25,52.9,30.63,10.35,7.3,44.12,12.4,128.75,91.15,175.79,37.4,160.37,42.04,87.8,118.67,,,,,,,,,,,,,,,,,,,,,,,,,
103,85.98,18.94,38.95,4.07,96.8,67.9,29.5,45.19,26.19,2.54,26.38,,4.82,7.88,1.87,5.17,8.37,90.41,123.05,93.64,43.85,0.53,28.2,1.21,23.25,9.26,14.28,34.01,13.12,10.22,16.09,24.9,6.57,156.6,32.05,215.62,56.07,30.84,10.3,7.28,39.25,11.85,128.55,86.25,175.43,36.7,155.97,37.74,90.84,111.11,,,,,,,,,,,,,,,,,,,,,,,,,
104,84.09,20.08,38.75,4.57,97.72,66.13,28.9,46.79,26.22,2.51,25.95,,5.29,7.61,1.68,5.31,8.51,91.88,132.86,92.02,43.59,0.4901,28.08,1.16,22.66,9.57,13.5,33.52,13.25,10.25,17.11,24.42,5.87,160.81,33.25,213.43,79.0,32.27,10.2,7.33,38.2,11.7,123.0,84.96,174.88,38.65,172.43,39.29,92.72,111.06,,,,,,,,,,,,,,,,,,,,,,,,,
105,84.29,19.5,44.88,4.32,98.89,67.34,29.45,47.78,26.64,2.66,26.58,,4.59,7.91,1.67,5.67,8.32,95.86,135.98,94.88,44.31,0.4129,28.7,1.14,22.74,10.15,13.7,33.72,13.24,10.85,17.02,24.24,6.25,157.02,33.7,221.13,81.91,31.59,10.05,7.52,37.42,11.7,124.85,85.12,177.15,36.55,175.555,39.21,91.21,109.68,,,,,,,,,,,,,,,,,,,,,,,,,
